,初出作品,キャラ集計ポイント比率,音楽集計ポイント比率,名前,回,回n,名前n
19,紺珠伝,0.0,0.0,東方紺珠伝,7.0,0.3684210526315789,0.6052631578947368
20,緋想天,0.0324210976348375,0.0126034857819532,東方緋想天,7.0,0.3684210526315789,0.631578947368421
21,花映塚,0.049924418634242,0.05933967333183698,東方花映塚,7.0,0.3684210526315789,0.6578947368421053
22,茨歌仙,0.0,,,,,
23,萃夢想,0.0144291698264936,0.0150031560881199,東方萃夢想,7.0,0.3684210526315789,0.6842105263157895
24,虹龍洞,0.0,0.0,東方虹龍洞,7.0,0.3684210526315789,0.7105263157894737
25,輝針城,0.0,0.0002556170543525,東方輝針城,7.0,0.3684210526315789,0.7368421052631579
26,鈴奈庵,0.0,,,,,
27,靈異伝,0.0393481170824065,0.0018623528245682711,東方靈異伝,7.0,0.3684210526315789,0.7631578947368421
28,風神録,0.1269817841274037,0.1444601524312305,東方風神録,7.0,0.3684210526315789,0.8157894736842105
29,香霖堂,0.0083826605658677,,,,,
30,鬼形獣,0.0,0.0,東方鬼形獣,7.0,0.3684210526315789,0.8421052631578947
31,Cradle,,0.0052531913006734,Cradle,7.0,0.3684210526315789,0.0
32,トルテルマジック,,0.0006938177189568009,トルテルマジック,7.0,0.3684210526315789,0.05263157894736842
33,メニュー,,0.0005321008070194943,メニュー,7.0,0.3684210526315789,0.07894736842105263
34,弾幕アマノジャク,,0.0066147433656941,弾幕アマノジャク,7.0,0.3684210526315789,0.13157894736842105
35,夢時空,,0.010824599750642502,東方夢時空,7.0,0.3684210526315789,0.21052631578947367
36,幻想麻雀,,0.0012415685497123,東方幻想麻雀,7.0,0.3684210526315789,0.34210526315789475
37,文花帖,,0.0256816889505613,東方文花帖,7.0,0.3684210526315789,0.4473684210526316
38,非想天則,,0.1109169348906839,東方非想天則,7.0,0.3684210526315789,0.7894736842105263
39,神魔討綺伝 ,,0.0003547338713463,神魔討綺伝 ,7.0,0.3684210526315789,0.868421052631579
40,秋霜玉,,0.003928155957702979,秋霜玉,7.0,0.3684210526315789,0.8947368421052632
