,名前,作品ポイント比率,キャラ集計ポイント比率,回,回n,名前n
57,CD,,0.0186332677994663,14.0,0.2857142857142857,0.0
0,紅魔郷,0.1055993599256687,0.1522268988163072,15.0,0.42857142857142855,0.5806451612903226
1,永夜抄,0.0965015292098437,0.071061035194818,15.0,0.42857142857142855,0.4838709677419355
2,妖々夢,0.0834935669948768,0.0938942237167257,15.0,0.42857142857142855,0.1935483870967742
3,風神録,0.0754281142326205,0.0692838040644988,15.0,0.42857142857142855,0.9032258064516129
4,地霊殿,0.0635299583177401,0.0894426828855458,15.0,0.42857142857142855,0.12903225806451613
5,紺珠伝,0.0601876346930611,0.0525496214215588,15.0,0.42857142857142855,0.6129032258064516
6,鈴奈庵,0.0393336000309713,0.005405039437605,15.0,0.42857142857142855,0.8387096774193549
7,輝針城,0.0353460401853118,0.0385743785333044,15.0,0.42857142857142855,0.8064516129032258
8,星蓮船,0.0313455756152327,0.0472404960449549,15.0,0.42857142857142855,0.45161290322580644
9,非想天則,0.0258481630124788,,,,
10,深秘録,0.0153824315081751,0.0066293542162692,15.0,0.42857142857142855,0.5161290322580645
11,神霊廟,0.0258997819101573,0.0375249658658779,15.0,0.42857142857142855,0.5483870967741935
12,茨歌仙,0.0265837323043966,0.0071935545751007,15.0,0.42857142857142855,0.7096774193548387
13,花映塚,0.0229187905692273,0.0425689170738311,15.0,0.42857142857142855,0.6774193548387096
14,緋想天,0.0158857157605399,0.024452443551754,15.0,0.42857142857142855,0.6451612903225806
15,弾幕アマノジャク,0.0120530126079157,,,,
16,儚月抄,0.0127627724509943,0.0053204093837801005,15.0,0.42857142857142855,0.06451612903225806
17,心綺楼,0.0082203094552915,0.0153744597781564,15.0,0.42857142857142855,0.3548387096774194
18,三月精,0.0158857157605399,,,,
19,求聞史紀 / 求聞口授,0.0102850653624291,,,,
20,香霖堂,0.0098204952833232,0.0034529061960483,15.0,0.42857142857142855,0.9354838709677419
21,大空魔術,0.0130724858370649,,,,
22,文花帖,0.0092526874088603,,,,
23,ダブルスポイラー,0.0082332141797111,0.005224495322779,15.0,0.42857142857142855,0.03225806451612903
24,蓬莱人形,0.0127885818998335,,,,
25,妖精大戦争,0.008865545676272,0.0063641800476183005,15.0,0.42857142857142855,0.22580645161290322
26,幻想郷,0.0088397362274328,0.0119610476072262,15.0,0.42857142857142855,0.3225806451612903
27,怪綺談,0.008336451975068,0.0220489500231322,15.0,0.42857142857142855,0.3870967741935484
28,萃夢想,0.0062975055167696,0.0082203992281739,15.0,0.42857142857142855,0.7419354838709677
29,蓮台野夜行,0.0060265063039578,,,,
30,夢時空,0.0061297440993147,,,,
31,卯酉東海道,0.0067233614226168,,,,
32,The Grimoire of Marisa,0.0040907976410163,,,,
33,夢違科学世紀,0.0048392716573537,,,,
34,靈異伝,0.0058329354376637,0.0388564787127204,15.0,0.42857142857142855,0.8709677419354839
35,伊弉諾物質,0.0036262275619104,,,,
36,鳥船遺跡,0.00264546850602,,,,
37,文花帖（書籍）,0.0025938496083416,,,,
38,幺樂団の歴史,0.0021550889780748,0.0042766387199422,15.0,0.42857142857142855,0.2903225806451613
39,封魔録,0.0027487063013769,0.0335699213504699,15.0,0.42857142857142855,0.25806451612903225
40,未知の花　魅知の旅,0.0030326102386083,,,,
41,燕石博物誌,0.0051876992166832,,,,
42,旧約酒場,0.0029551818920906,,,,
43,天空璋,0.0312552425442954,0.0026348156757427,15.0,0.42857142857142855,0.16129032258064516
44,憑依華,0.0292421055348363,0.0,15.0,0.42857142857142855,0.41935483870967744
45,文果真報,0.0042714637828909,,,,
