,Number,Track Name,Notes,title
11,11,星条旗のピエロ,５面ボス・クラウンピースのテーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
12,12,故郷の星が映る海,６面テーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
13,13,ピュアヒューリーズ　～ 心の在処,６面ボス・純狐のテーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
14,14,見た事も無い悪夢の世界,EXTRAステージテーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
15,15,パンデモニックプラネット,EXTRAステージボス・ヘカーティア・ラピスラズリのテーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
16,16,神社から見える月,エンディングテーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
17,17,宇宙巫女帰還する,スタッフロールテーマ,東方紺珠伝　～ Legacy of Lunatic Kingdom.
1,01,桜舞い散る天空,タイトル画面テーマ,東方天空璋　～ Hidden Star in Four Seasons.
2,02,希望の星は青霄に昇る,１面テーマ,東方天空璋　～ Hidden Star in Four Seasons.
3,03,真夏の妖精の夢,１面ボス・エタニティラルバのテーマ,東方天空璋　～ Hidden Star in Four Seasons.
4,04,色無き風は妖怪の山に,２面テーマ,東方天空璋　～ Hidden Star in Four Seasons.
5,05,山奥のエンカウンター,２面ボス・坂田 ネムノのテーマ,東方天空璋　～ Hidden Star in Four Seasons.
6,06,桜色の海を泳いで,３面テーマ,東方天空璋　～ Hidden Star in Four Seasons.
7,07,一対の神獣,３面ボス・高麗野 あうんのテーマ,東方天空璋　～ Hidden Star in Four Seasons.
8,08,幻想のホワイトトラベラー,４面テーマ,東方天空璋　～ Hidden Star in Four Seasons.
9,09,魔法の笠地蔵,４面ボス・矢田寺 成美のテーマ,東方天空璋　～ Hidden Star in Four Seasons.
10,10,禁断の扉の向こうは、この世かあの世か,５面テーマ,東方天空璋　～ Hidden Star in Four Seasons.
11,11,クレイジーバックダンサーズ,５面ボス・爾子田 里乃・丁礼田 舞のテーマ,東方天空璋　～ Hidden Star in Four Seasons.
12,12,イントゥ・バックドア,６面テーマ,東方天空璋　～ Hidden Star in Four Seasons.
13,13,秘匿されたフォーシーズンズ,６面ボス・摩多羅 隠岐奈のテーマ,東方天空璋　～ Hidden Star in Four Seasons.
14,14,もうドアには入れない,EXTRAステージテーマ,東方天空璋　～ Hidden Star in Four Seasons.
15,15,秘神マターラ　～ Hidden Star in All Seasons.,EXTRAステージボス・摩多羅 隠岐奈のテーマ,東方天空璋　～ Hidden Star in Four Seasons.
16,16,不自然な自然,エンディングテーマ,東方天空璋　～ Hidden Star in Four Seasons.
17,17,白い旅人,スタッフロールテーマ,東方天空璋　～ Hidden Star in Four Seasons.
1,-,アンノウンX ～ Occultly Madness,ラスボス戦（依神姉妹戦以外）,東方憑依華　～ Antinomy of Common Flowers.
2,-,憑坐は夢と現の間に ～ Necro-Fantasia,八雲 紫のテーマ,東方憑依華　～ Antinomy of Common Flowers.
3,-,今宵は飄逸なエゴイスト(Live ver)　～ Egoistic Flowers.,依神 紫苑・依神 女苑のテーマ,東方憑依華　～ Antinomy of Common Flowers.
1,01,悪夢日記,タイトル画面テーマ,秘封ナイトメアダイアリー　～ Violet Detector.
