,名前,12回目ポイント,16回目ポイント,13回目ポイント,15回目ポイント,17回目ポイント,20回目ポイント,18回目ポイント,19回目ポイント,21回目ポイント,14回目ポイント,10回目ポイント,5回目ポイント,9回目ポイント,4回目ポイント,3回目ポイント,2回目ポイント,7回目ポイント,11回目ポイント,8回目ポイント,6回目ポイント,1回目ポイント
144,オレンジ,48.0,60.0,40.0,57.0,59.0,,62.0,55.0,,55.0,33.0,9.0,34.0,1.0,,,29.0,41.0,35.0,17.0,
145,ウワバミ,48.0,23.0,46.0,24.0,11.0,,15.0,18.0,,28.0,,,,,,,,14.0,,,
146,龍,47.0,28.0,61.0,25.0,34.0,,36.0,28.0,,43.0,,,,,,,,,,,
147,酒虫,46.0,21.0,36.0,22.0,28.0,,27.0,19.0,,25.0,18.0,,20.0,,,,44.0,36.0,30.0,11.0,
148,兎,45.0,32.0,47.0,23.0,33.0,,41.0,41.0,,34.0,,,,,,,,,,,
149,シンギョク,43.0,54.0,61.0,46.0,59.0,,78.0,69.0,,51.0,23.0,2.0,23.0,,,,12.0,19.0,27.0,9.0,
150,都市伝説の怪異,42.0,24.0,92.0,37.0,27.0,,61.0,25.0,,43.0,,,,,,,,,,,
151,カラス,39.0,15.0,31.0,21.0,46.0,,76.0,61.0,,15.0,8.0,15.0,24.0,,,,17.0,14.0,21.0,12.0,
152,万歳楽,33.0,23.0,37.0,13.0,16.0,,26.0,23.0,,19.0,,,,,,,,38.0,,,
153,命蓮,32.0,18.0,35.0,13.0,16.0,,21.0,19.0,,30.0,18.0,,19.0,,,,18.0,14.0,18.0,,
154,岩笠,27.0,21.0,37.0,20.0,21.0,,29.0,18.0,,21.0,26.0,,46.0,,,,17.0,25.0,23.0,9.0,
155,天狗,26.0,20.0,22.0,20.0,18.0,,25.0,13.0,,27.0,6.0,,14.0,,,,,6.0,28.0,,
156,運松,24.0,11.0,16.0,9.0,12.0,,9.0,11.0,,10.0,9.0,,,,,,,25.0,,,
157,仙台四郎,20.0,10.0,14.0,12.0,9.0,,17.0,12.0,,6.0,9.0,,,,,,,13.0,,,
158,月の都の門番,16.0,7.0,8.0,7.0,12.0,,10.0,12.0,,11.0,15.0,5.0,14.0,,,,11.0,6.0,11.0,12.0,
159,幽霊,15.0,13.0,9.0,5.0,13.0,,13.0,27.0,,13.0,15.0,1.0,15.0,,,,12.0,7.0,9.0,18.0,
160,神降ろしの神霊,15.0,15.0,15.0,7.0,14.0,,20.0,17.0,,8.0,9.0,,53.0,,,,,8.0,,,
161,毘沙門天,12.0,7.0,11.0,4.0,9.0,,18.0,10.0,,8.0,4.0,,11.0,,,,26.0,10.0,16.0,,
162,木花咲耶姫,12.0,10.0,18.0,9.0,15.0,,18.0,21.0,,10.0,6.0,,8.0,,,,9.0,8.0,17.0,7.0,
163,狸,11.0,13.0,38.0,6.0,8.0,,15.0,12.0,,21.0,,,,,,,,,,,
164,座敷童,9.0,4.0,8.0,6.0,7.0,,5.0,12.0,,8.0,5.0,,,,,,,7.0,,,
165,小鈴の両親,9.0,9.0,10.0,5.0,9.0,,8.0,19.0,,9.0,,,,,,,,8.0,,,
166,煙々羅,9.0,5.0,8.0,1.0,4.0,,6.0,6.0,,4.0,4.0,,,,,,,9.0,,,
167,沓頬,6.0,7.0,6.0,1.0,2.0,,10.0,6.0,,5.0,1.0,,,,,,,7.0,,,
168,水江浦島子,4.0,2.0,12.0,10.0,6.0,,7.0,5.0,,1.0,8.0,,8.0,,,,3.0,0.0,5.0,,
169,依神紫苑,,2473.0,,2586.0,2791.0,,3412.0,3175.0,,4045.0,,,,,,,,,,,
170,埴安神 袿姫,,2217.0,,,1809.0,,1890.0,1605.0,,,,,,,,,,,,,
171,摩多羅隠岐奈,,1932.0,,1319.0,1968.0,,2493.0,2428.0,,1734.0,,,,,,,,,,,
172,吉弔 八千慧,,1733.0,,,1364.0,,1518.0,2150.0,,,,,,,,,,,,,
173,依神女苑,,1358.0,,1590.0,972.0,,1438.0,1287.0,,1393.0,,,,,,,,,,,
