,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"subpower[5, 3]",0.622,0.219,0.223,1.053,0.005,0.004,1656.0,2156.0,1.01
"subpower[5, 4]",0.626,0.226,0.208,1.043,0.011,0.008,434.0,2234.0,1.01
"subpower[6, 0]",0.681,0.235,0.261,1.12,0.012,0.008,424.0,1242.0,1.01
"subpower[6, 1]",0.633,0.228,0.21,1.047,0.007,0.005,1125.0,1754.0,1.01
"subpower[6, 2]",0.658,0.229,0.247,1.097,0.007,0.005,947.0,1691.0,1.01
"subpower[6, 3]",0.624,0.22,0.221,1.038,0.008,0.005,744.0,1989.0,1.01
"subpower[6, 4]",0.625,0.225,0.208,1.036,0.011,0.008,415.0,578.0,1.01
"subpower[7, 0]",0.62,0.222,0.223,1.061,0.006,0.004,1348.0,1830.0,1.0
"subpower[7, 1]",0.758,0.269,0.298,1.286,0.01,0.007,669.0,1458.0,1.02
"subpower[7, 2]",0.619,0.222,0.199,1.03,0.006,0.004,1395.0,1808.0,1.01
"subpower[7, 3]",0.635,0.222,0.228,1.065,0.008,0.006,816.0,1360.0,1.0
"subpower[7, 4]",0.628,0.224,0.204,1.041,0.007,0.005,1076.0,2108.0,1.01
"subpower[8, 0]",0.616,0.23,0.228,1.062,0.011,0.008,450.0,1486.0,1.02
"subpower[8, 1]",0.626,0.224,0.21,1.041,0.009,0.006,565.0,2274.0,1.01
"subpower[8, 2]",0.687,0.232,0.277,1.128,0.008,0.006,767.0,1683.0,1.01
"subpower[8, 3]",0.622,0.223,0.219,1.064,0.006,0.004,1234.0,2018.0,1.01
"subpower[8, 4]",0.636,0.22,0.234,1.083,0.007,0.005,999.0,681.0,1.01
"subpower[9, 0]",0.616,0.21,0.24,1.016,0.01,0.007,452.0,1313.0,1.01
"subpower[9, 1]",0.621,0.225,0.217,1.032,0.008,0.005,707.0,557.0,1.01
"subpower[9, 2]",0.605,0.225,0.199,1.048,0.006,0.005,1047.0,1972.0,1.01
"subpower[9, 3]",0.665,0.214,0.263,1.062,0.006,0.004,1177.0,1462.0,1.01
"subpower[9, 4]",0.608,0.228,0.212,1.054,0.008,0.006,658.0,1985.0,1.01
"subpower[10, 0]",0.699,0.251,0.239,1.15,0.008,0.006,967.0,1708.0,1.01
"subpower[10, 1]",0.573,0.198,0.205,0.962,0.007,0.005,892.0,698.0,1.01
"subpower[10, 2]",0.63,0.23,0.21,1.068,0.01,0.007,518.0,1040.0,1.01
"subpower[10, 3]",0.627,0.221,0.222,1.035,0.007,0.005,731.0,2216.0,1.01
"subpower[10, 4]",0.583,0.194,0.227,0.961,0.005,0.003,1543.0,2216.0,1.0
"subpower[11, 0]",0.616,0.224,0.207,1.048,0.006,0.004,1183.0,657.0,1.01
"subpower[11, 1]",0.653,0.239,0.206,1.085,0.008,0.006,840.0,1852.0,1.01
"subpower[11, 2]",0.546,0.193,0.176,0.902,0.007,0.005,675.0,2188.0,1.01
"subpower[11, 3]",0.621,0.221,0.209,1.038,0.006,0.004,1074.0,1830.0,1.01
"subpower[11, 4]",0.619,0.221,0.187,1.03,0.006,0.004,1434.0,2036.0,1.01
"subpower[12, 0]",0.597,0.208,0.215,0.988,0.01,0.007,448.0,2327.0,1.01
"subpower[12, 1]",0.626,0.222,0.201,1.024,0.007,0.005,976.0,2461.0,1.01
"subpower[12, 2]",0.6,0.209,0.205,0.996,0.006,0.004,1234.0,1294.0,1.01
"subpower[12, 3]",0.569,0.199,0.179,0.958,0.009,0.006,507.0,444.0,1.01
"subpower[12, 4]",0.628,0.225,0.217,1.041,0.008,0.006,720.0,722.0,1.01
"subpower[13, 0]",0.675,0.225,0.254,1.123,0.008,0.006,946.0,615.0,1.01
"subpower[13, 1]",0.619,0.213,0.205,1.015,0.006,0.004,1292.0,2192.0,1.01
"subpower[13, 2]",0.626,0.229,0.194,1.045,0.011,0.008,430.0,1494.0,1.01
"subpower[13, 3]",0.599,0.212,0.209,1.018,0.006,0.004,1341.0,1934.0,1.01
"subpower[13, 4]",0.587,0.199,0.209,0.975,0.007,0.005,798.0,501.0,1.01
"subpower[14, 0]",0.629,0.223,0.222,1.052,0.009,0.006,592.0,1992.0,1.01
"subpower[14, 1]",0.65,0.216,0.27,1.079,0.007,0.005,1070.0,1796.0,1.01
"subpower[14, 2]",0.611,0.22,0.206,1.026,0.009,0.006,655.0,807.0,1.01
"subpower[14, 3]",0.611,0.22,0.199,1.03,0.005,0.004,1583.0,1410.0,1.01
"subpower[14, 4]",0.602,0.215,0.195,1.018,0.012,0.009,329.0,340.0,1.01
"subpower[15, 0]",0.604,0.221,0.2,1.02,0.011,0.008,425.0,580.0,1.01
"subpower[15, 1]",0.619,0.235,0.179,1.064,0.008,0.006,929.0,550.0,1.02
"subpower[15, 2]",0.584,0.193,0.206,0.932,0.006,0.004,977.0,581.0,1.01
"subpower[15, 3]",0.63,0.221,0.219,1.05,0.006,0.004,1229.0,2023.0,1.01
"subpower[15, 4]",0.604,0.232,0.184,1.041,0.012,0.008,339.0,1900.0,1.02
"subpower[16, 0]",0.628,0.229,0.23,1.081,0.009,0.006,633.0,1853.0,1.01
"subpower[16, 1]",0.61,0.218,0.197,1.006,0.008,0.006,711.0,1348.0,1.01
"subpower[16, 2]",0.616,0.22,0.206,1.032,0.005,0.004,1543.0,2288.0,1.01
"subpower[16, 3]",0.552,0.189,0.207,0.918,0.006,0.004,874.0,1807.0,1.0
"subpower[16, 4]",0.621,0.218,0.221,1.033,0.006,0.004,1277.0,1922.0,1.01
"subpower[17, 0]",0.488,0.19,0.141,0.847,0.012,0.009,245.0,1370.0,1.02
"subpower[17, 1]",0.63,0.23,0.229,1.063,0.012,0.009,358.0,2021.0,1.01
"subpower[17, 2]",0.612,0.218,0.228,1.028,0.009,0.007,550.0,2183.0,1.01
"subpower[17, 3]",0.626,0.229,0.208,1.064,0.009,0.006,638.0,1040.0,1.01
"subpower[17, 4]",0.541,0.184,0.191,0.891,0.006,0.004,960.0,1113.0,1.01
titlepow[0],0.146,0.111,0.002,0.348,0.004,0.003,534.0,960.0,1.02
titlepow[1],0.162,0.129,0.001,0.39,0.005,0.003,407.0,890.0,1.02
titlepow[2],0.158,0.126,0.001,0.382,0.005,0.004,417.0,956.0,1.02
titlepow[3],0.155,0.121,0.002,0.367,0.006,0.004,136.0,945.0,1.03
titlepow[4],0.149,0.113,0.002,0.355,0.004,0.003,574.0,1007.0,1.02
titlepow[5],0.159,0.126,0.0,0.382,0.006,0.004,261.0,930.0,1.02
titlepow[6],0.159,0.127,0.001,0.383,0.005,0.004,235.0,901.0,1.03
titlepow[7],0.158,0.127,0.003,0.388,0.006,0.004,180.0,723.0,1.03
titlepow[8],0.159,0.125,0.002,0.383,0.005,0.003,576.0,951.0,1.02
titlepow[9],0.159,0.128,0.004,0.386,0.005,0.003,532.0,984.0,1.02
titlepow[10],0.158,0.125,0.003,0.382,0.004,0.003,415.0,917.0,1.02
titlepow[11],0.159,0.125,0.003,0.379,0.005,0.004,185.0,996.0,1.03
titlepow[12],0.158,0.124,0.002,0.376,0.005,0.004,344.0,929.0,1.02
titlepow[13],0.16,0.127,0.002,0.381,0.006,0.004,247.0,934.0,1.03
