,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
indivisual[308],0.028,0.008,0.013,0.043,0.0,0.0,10788.0,5222.0,1.0
indivisual[309],0.028,0.008,0.014,0.044,0.0,0.0,13603.0,5704.0,1.0
indivisual[310],0.314,0.091,0.152,0.482,0.001,0.001,10605.0,5867.0,1.0
indivisual[311],0.028,0.008,0.014,0.043,0.0,0.0,11477.0,5566.0,1.0
indivisual[312],0.028,0.008,0.013,0.043,0.0,0.0,12778.0,6005.0,1.0
indivisual[313],0.029,0.008,0.014,0.044,0.0,0.0,10760.0,5222.0,1.0
indivisual[314],0.028,0.008,0.013,0.043,0.0,0.0,11936.0,5657.0,1.0
indivisual[315],0.028,0.008,0.014,0.043,0.0,0.0,12825.0,5768.0,1.0
indivisual[316],0.028,0.008,0.013,0.043,0.0,0.0,11608.0,4818.0,1.0
indivisual[317],0.028,0.008,0.013,0.043,0.0,0.0,14261.0,5867.0,1.0
indivisual[318],0.027,0.008,0.012,0.042,0.0,0.0,12279.0,5629.0,1.0
indivisual[319],0.027,0.008,0.013,0.043,0.0,0.0,12660.0,5221.0,1.0
indivisual[320],0.028,0.008,0.013,0.044,0.0,0.0,13039.0,5124.0,1.0
indivisual[321],0.335,0.097,0.155,0.509,0.001,0.001,12157.0,4892.0,1.0
indivisual[322],0.028,0.008,0.013,0.044,0.0,0.0,10402.0,5108.0,1.0
indivisual[323],0.028,0.009,0.013,0.044,0.0,0.0,11991.0,4899.0,1.0
indivisual[324],0.03,0.009,0.014,0.047,0.0,0.0,10439.0,5276.0,1.0
indivisual[325],0.028,0.009,0.013,0.044,0.0,0.0,13157.0,5681.0,1.0
indivisual[326],0.029,0.009,0.013,0.046,0.0,0.0,11452.0,5193.0,1.0
