,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"inttitlepow[12, 0]",0.261,0.074,0.117,0.395,0.002,0.001,1715.0,2374.0,1.0
"inttitlepow[12, 1]",0.336,0.046,0.25,0.422,0.002,0.002,350.0,1663.0,1.02
"inttitlepow[12, 2]",0.273,0.039,0.201,0.348,0.002,0.001,370.0,1510.0,1.01
"inttitlepow[12, 3]",0.215,0.032,0.156,0.274,0.002,0.001,440.0,1727.0,1.01
"inttitlepow[12, 4]",0.201,0.03,0.143,0.255,0.001,0.001,463.0,1652.0,1.01
"inttitlepow[12, 5]",0.17,0.026,0.12,0.218,0.001,0.001,494.0,1894.0,1.01
"inttitlepow[12, 6]",0.261,0.073,0.125,0.397,0.002,0.001,2090.0,2554.0,1.0
"inttitlepow[12, 7]",0.262,0.073,0.127,0.401,0.002,0.001,2205.0,3771.0,1.0
"inttitlepow[12, 8]",0.261,0.074,0.122,0.4,0.001,0.001,2680.0,3323.0,1.0
"inttitlepow[12, 9]",0.261,0.074,0.12,0.395,0.002,0.001,1733.0,3498.0,1.0
"inttitlepow[12, 10]",0.26,0.073,0.126,0.396,0.002,0.001,2084.0,3525.0,1.0
"inttitlepow[12, 11]",0.262,0.072,0.128,0.398,0.002,0.001,1897.0,3403.0,1.0
"inttitlepow[12, 12]",0.261,0.074,0.117,0.395,0.002,0.001,2176.0,2741.0,1.0
"inttitlepow[12, 13]",0.261,0.073,0.127,0.403,0.001,0.001,2656.0,3202.0,1.0
"inttitlepow[12, 14]",0.261,0.073,0.119,0.395,0.002,0.002,1141.0,3210.0,1.01
"inttitlepow[12, 15]",0.263,0.071,0.126,0.39,0.002,0.001,1588.0,3394.0,1.0
"inttitlepow[12, 16]",0.262,0.073,0.121,0.397,0.002,0.001,1834.0,3047.0,1.0
"inttitlepow[12, 17]",0.261,0.073,0.12,0.393,0.002,0.001,1859.0,3123.0,1.01
"inttitlepow[13, 0]",0.263,0.071,0.134,0.398,0.002,0.001,1860.0,3722.0,1.0
"inttitlepow[13, 1]",0.261,0.074,0.123,0.4,0.002,0.001,1807.0,2483.0,1.0
"inttitlepow[13, 2]",0.261,0.072,0.116,0.391,0.002,0.001,1688.0,3117.0,1.0
"inttitlepow[13, 3]",0.262,0.074,0.125,0.407,0.002,0.001,1924.0,2786.0,1.0
"inttitlepow[13, 4]",0.261,0.074,0.12,0.395,0.002,0.001,1798.0,2042.0,1.0
"inttitlepow[13, 5]",0.263,0.072,0.134,0.401,0.002,0.001,1598.0,3278.0,1.0
"inttitlepow[13, 6]",0.261,0.074,0.122,0.4,0.001,0.001,2478.0,3366.0,1.0
"inttitlepow[13, 7]",0.261,0.073,0.121,0.398,0.002,0.001,1867.0,3122.0,1.0
"inttitlepow[13, 8]",0.262,0.073,0.122,0.396,0.002,0.001,2117.0,3008.0,1.0
"inttitlepow[13, 9]",0.26,0.073,0.115,0.394,0.002,0.001,1517.0,2780.0,1.01
"inttitlepow[13, 10]",0.261,0.072,0.127,0.401,0.002,0.001,2124.0,3884.0,1.0
"inttitlepow[13, 11]",0.262,0.072,0.128,0.401,0.002,0.001,1826.0,3603.0,1.01
"inttitlepow[13, 12]",0.261,0.075,0.12,0.401,0.002,0.001,2050.0,3387.0,1.0
"inttitlepow[13, 13]",0.26,0.072,0.124,0.398,0.002,0.001,2051.0,3234.0,1.0
"inttitlepow[13, 14]",0.26,0.072,0.124,0.393,0.002,0.001,2094.0,3679.0,1.0
"inttitlepow[13, 15]",0.261,0.073,0.126,0.404,0.002,0.001,1796.0,2202.0,1.0
"inttitlepow[13, 16]",0.261,0.073,0.124,0.4,0.002,0.001,2150.0,3378.0,1.0
"inttitlepow[13, 17]",0.262,0.073,0.123,0.401,0.002,0.001,1785.0,3060.0,1.0
"inttitlepow[14, 0]",0.264,0.073,0.13,0.403,0.002,0.001,1300.0,3174.0,1.0
"inttitlepow[14, 1]",0.271,0.042,0.194,0.351,0.002,0.001,575.0,1891.0,1.0
"inttitlepow[14, 2]",0.264,0.042,0.188,0.341,0.002,0.001,578.0,1956.0,1.0
"inttitlepow[14, 3]",0.222,0.036,0.159,0.295,0.002,0.001,558.0,1687.0,1.0
"inttitlepow[14, 4]",0.261,0.072,0.125,0.396,0.001,0.001,2538.0,3680.0,1.0
"inttitlepow[14, 5]",0.261,0.073,0.132,0.404,0.002,0.001,1359.0,3524.0,1.0
"inttitlepow[14, 6]",0.261,0.075,0.12,0.399,0.002,0.001,2376.0,2293.0,1.0
"inttitlepow[14, 7]",0.262,0.074,0.127,0.404,0.002,0.001,2017.0,3327.0,1.0
"inttitlepow[14, 8]",0.262,0.072,0.127,0.398,0.002,0.001,1689.0,3494.0,1.0
"inttitlepow[14, 9]",0.26,0.074,0.121,0.4,0.002,0.001,1687.0,2752.0,1.0
"inttitlepow[14, 10]",0.261,0.073,0.136,0.406,0.001,0.001,2360.0,4039.0,1.0
"inttitlepow[14, 11]",0.261,0.073,0.117,0.392,0.001,0.001,2656.0,3542.0,1.0
"inttitlepow[14, 12]",0.261,0.073,0.115,0.393,0.002,0.001,1825.0,2603.0,1.0
"inttitlepow[14, 13]",0.261,0.073,0.116,0.392,0.002,0.001,2400.0,2974.0,1.0
"inttitlepow[14, 14]",0.261,0.072,0.12,0.393,0.001,0.001,2398.0,3312.0,1.0
