,名前,12回目ポイント,16回目ポイント,10回目ポイント,5回目ポイント,13回目ポイント,15回目ポイント,9回目ポイント,4回目ポイント,17回目ポイント,3回目ポイント,2回目ポイント,7回目ポイント,20回目ポイント,11回目ポイント,18回目ポイント,8回目ポイント,6回目ポイント,19回目ポイント,21回目ポイント,14回目ポイント,1回目ポイント
331,東の国の眠らない夜,1392.0,878.0,797.0,569.0,1251.0,796.0,1446.0,,882.0,,,1336.0,788.0,799.0,1046.0,1291.0,1055.0,918.0,788.0,984.0,
332,東方の青い空,2.0,1.0,1.0,,3.0,2.0,1.0,1.0,4.0,,,,4.0,1.0,8.0,,,5.0,4.0,1.0,
333,東方妖々夢,1491.0,1214.0,627.0,374.0,1361.0,869.0,952.0,249.0,1493.0,132.0,54.0,809.0,1445.0,735.0,1801.0,809.0,723.0,1562.0,1445.0,1125.0,
334,東方妖怪小町,566.0,625.0,249.0,131.0,462.0,319.0,391.0,79.0,616.0,149.0,,381.0,646.0,310.0,705.0,448.0,295.0,614.0,646.0,324.0,
335,東方妖恋談,307.0,238.0,229.0,40.0,264.0,175.0,314.0,31.0,234.0,13.0,5.0,391.0,229.0,172.0,241.0,378.0,165.0,247.0,229.0,217.0,1.0
336,東方封魔録,24.0,27.0,8.0,2.0,20.0,17.0,11.0,2.0,43.0,2.0,,8.0,49.0,16.0,31.0,13.0,5.0,33.0,49.0,18.0,
337,東方怪奇談,57.0,55.0,30.0,16.0,57.0,42.0,33.0,20.0,57.0,22.0,24.0,32.0,76.0,30.0,78.0,24.0,21.0,87.0,76.0,45.0,9.0
338,東方緋想天,1070.0,715.0,697.0,,799.0,501.0,900.0,,587.0,,,932.0,791.0,584.0,592.0,913.0,743.0,836.0,791.0,659.0,
339,東方萃夢想,781.0,463.0,443.0,466.0,629.0,373.0,728.0,251.0,411.0,,,810.0,372.0,439.0,390.0,729.0,651.0,458.0,372.0,471.0,
340,柳の下のデュラハン,654.0,255.0,726.0,,484.0,232.0,,,343.0,,,,345.0,355.0,312.0,,,387.0,345.0,341.0,
341,桜花之恋塚,585.0,449.0,428.0,100.0,505.0,331.0,755.0,44.0,486.0,31.0,12.0,441.0,624.0,413.0,458.0,613.0,288.0,567.0,624.0,415.0,
342,森閑,7.0,6.0,5.0,1.0,5.0,6.0,1.0,2.0,6.0,,,6.0,6.0,1.0,7.0,3.0,4.0,6.0,6.0,9.0,
343,業火マントル,331.0,207.0,199.0,,289.0,200.0,308.0,,186.0,,,245.0,186.0,179.0,229.0,303.0,229.0,216.0,186.0,208.0,
344,欲深き霊魂,61.0,56.0,42.0,,59.0,42.0,96.0,,46.0,,,,45.0,25.0,58.0,,,41.0,45.0,52.0,
345,此岸の塚,19.0,18.0,17.0,3.0,18.0,16.0,18.0,5.0,16.0,,,12.0,19.0,13.0,22.0,14.0,8.0,20.0,19.0,10.0,
346,死を賭して,3.0,11.0,2.0,,6.0,3.0,5.0,1.0,6.0,,,4.0,9.0,2.0,4.0,3.0,1.0,7.0,9.0,4.0,
347,死体旅行,784.0,526.0,515.0,,706.0,405.0,944.0,,501.0,,,1113.0,690.0,389.0,582.0,1021.0,1378.0,839.0,690.0,543.0,
348,死霊の夜桜,1031.0,840.0,612.0,,838.0,631.0,967.0,,666.0,,,,640.0,598.0,668.0,,,676.0,640.0,777.0,
349,永夜の報い,483.0,440.0,267.0,74.0,503.0,315.0,271.0,79.0,531.0,118.0,,213.0,795.0,305.0,724.0,247.0,163.0,739.0,795.0,406.0,
350,永夜抄,168.0,161.0,44.0,19.0,149.0,119.0,58.0,10.0,234.0,17.0,,41.0,398.0,59.0,310.0,50.0,30.0,262.0,398.0,124.0,
351,永遠の三日天下,728.0,398.0,,,611.0,372.0,,,418.0,,,,404.0,545.0,369.0,,,417.0,404.0,498.0,
352,永遠の巫女,433.0,461.0,236.0,68.0,424.0,361.0,320.0,54.0,467.0,57.0,17.0,249.0,669.0,260.0,492.0,251.0,114.0,580.0,669.0,385.0,5.0
353,永遠の春夢,1777.0,918.0,,,1142.0,869.0,,,934.0,,,,879.0,,997.0,,,986.0,879.0,1270.0,
354,永遠の満月,20.0,41.0,6.0,3.0,19.0,14.0,12.0,2.0,54.0,2.0,1.0,6.0,66.0,14.0,34.0,6.0,6.0,61.0,66.0,18.0,
355,法界の火,570.0,418.0,359.0,,450.0,315.0,536.0,,336.0,,,528.0,383.0,340.0,357.0,664.0,,341.0,383.0,363.0,
356,渡る者の途絶えた橋,344.0,301.0,205.0,,304.0,217.0,283.0,,263.0,,,298.0,309.0,206.0,293.0,293.0,258.0,298.0,309.0,239.0,
357,湖は浄めの月光を映して,116.0,61.0,,,104.0,60.0,,,86.0,,,,96.0,,90.0,,,100.0,96.0,59.0,
358,満月の竹林,853.0,453.0,963.0,,705.0,399.0,,,352.0,,,,294.0,624.0,348.0,,,332.0,294.0,555.0,
359,演者選択,13.0,1.0,13.0,,10.0,3.0,,,4.0,,,,,10.0,9.0,,,1.0,,,
360,無何有の郷,828.0,612.0,398.0,171.0,717.0,461.0,665.0,88.0,663.0,86.0,28.0,616.0,684.0,444.0,672.0,577.0,404.0,777.0,684.0,554.0,8.0
361,無間の鐘,1197.0,716.0,988.0,,959.0,614.0,1836.0,,639.0,,,,608.0,802.0,574.0,1987.0,,679.0,608.0,754.0,
362,牛に引かれて善光寺参り,123.0,115.0,97.0,,103.0,81.0,,,99.0,,,,117.0,89.0,118.0,,,141.0,117.0,93.0,
363,狂気の瞳,1974.0,1957.0,699.0,323.0,1915.0,1195.0,957.0,134.0,2385.0,184.0,,897.0,2925.0,903.0,3357.0,923.0,824.0,2964.0,2925.0,1668.0,
364,珍客,20.0,8.0,7.0,2.0,17.0,12.0,7.0,4.0,13.0,,,9.0,13.0,10.0,7.0,8.0,8.0,6.0,13.0,13.0,
365,甲論乙駁,111.0,77.0,48.0,,83.0,71.0,46.0,,70.0,,,28.0,82.0,50.0,64.0,25.0,9.0,62.0,82.0,88.0,
366,真夜中のフェアリーダンス,438.0,349.0,184.0,,370.0,257.0,262.0,,293.0,,,,301.0,223.0,278.0,365.0,,289.0,301.0,306.0,
367,真実を知る者,4.0,4.0,,,1.0,1.0,,,3.0,,,,4.0,2.0,3.0,,,5.0,4.0,2.0,
368,真紅の少女,30.0,25.0,18.0,8.0,25.0,19.0,16.0,1.0,39.0,1.0,1.0,11.0,26.0,10.0,42.0,20.0,9.0,24.0,26.0,22.0,
369,眠れる恐怖,232.0,161.0,174.0,115.0,203.0,110.0,319.0,42.0,189.0,18.0,5.0,312.0,232.0,119.0,235.0,322.0,276.0,200.0,232.0,165.0,3.0
370,砕月,5037.0,3820.0,2191.0,736.0,4108.0,2796.0,3471.0,273.0,3693.0,,,2805.0,4606.0,2410.0,5380.0,3476.0,1928.0,4759.0,4606.0,3460.0,
371,破邪の小太刀,23.0,17.0,10.0,5.0,22.0,13.0,19.0,4.0,14.0,2.0,2.0,9.0,20.0,3.0,13.0,15.0,12.0,16.0,20.0,18.0,
372,神々が恋した幻想郷,6171.0,4455.0,3538.0,1105.0,5050.0,3196.0,5362.0,,5425.0,,,3313.0,8361.0,3366.0,7015.0,3972.0,2553.0,6786.0,8361.0,3862.0,
373,神さびた古戦場,1888.0,1120.0,1302.0,1036.0,1361.0,854.0,2410.0,,1120.0,,,3143.0,1219.0,1010.0,1333.0,2626.0,2483.0,1297.0,1219.0,1158.0,
374,神は恵みの雨を降らす,68.0,60.0,23.0,24.0,50.0,38.0,55.0,,52.0,,,78.0,103.0,34.0,64.0,58.0,47.0,88.0,103.0,47.0,
375,神域のかくれんぼ暮らし,32.0,16.0,19.0,,23.0,19.0,19.0,,14.0,,,,17.0,12.0,12.0,22.0,,23.0,17.0,10.0,
376,神社,4.0,4.0,1.0,,3.0,6.0,3.0,,2.0,,,2.0,6.0,1.0,10.0,3.0,,5.0,6.0,3.0,
377,神社から見える月,16.0,24.0,,,13.0,10.0,,,27.0,,,,38.0,,30.0,,,34.0,38.0,16.0,
378,神社の新しい風,5.0,3.0,4.0,,2.0,,3.0,,6.0,,,,5.0,1.0,10.0,,,5.0,5.0,3.0,
379,神話幻想,364.0,285.0,224.0,93.0,291.0,204.0,303.0,75.0,260.0,14.0,6.0,238.0,390.0,200.0,287.0,260.0,179.0,284.0,390.0,253.0,3.0
380,禁じざるをえない遊戯,99.0,64.0,40.0,19.0,95.0,53.0,36.0,11.0,65.0,8.0,4.0,39.0,59.0,49.0,64.0,35.0,24.0,51.0,59.0,80.0,
381,禁断の魔法,32.0,34.0,11.0,11.0,29.0,33.0,17.0,2.0,23.0,3.0,5.0,26.0,38.0,18.0,32.0,16.0,9.0,35.0,38.0,21.0,2.0
382,禍機,8.0,10.0,3.0,1.0,9.0,5.0,1.0,1.0,11.0,,,4.0,9.0,3.0,11.0,1.0,2.0,8.0,9.0,4.0,
383,秋霜玉,9.0,13.0,6.0,,12.0,6.0,2.0,,12.0,,,3.0,14.0,16.0,17.0,2.0,2.0,15.0,14.0,5.0,
384,科学世紀の少年少女,109.0,76.0,51.0,14.0,59.0,53.0,61.0,16.0,83.0,,,38.0,103.0,59.0,78.0,54.0,31.0,111.0,103.0,70.0,
385,秘境のマーメイド,303.0,209.0,181.0,,299.0,171.0,,,207.0,,,,172.0,157.0,203.0,,,172.0,172.0,197.0,
386,稀翁玉,6.0,7.0,2.0,1.0,1.0,2.0,5.0,,5.0,3.0,,1.0,4.0,5.0,4.0,2.0,3.0,13.0,4.0,4.0,
387,稲田姫様に叱られるから,1293.0,1003.0,845.0,369.0,1261.0,739.0,1473.0,,1074.0,,,1455.0,1127.0,715.0,1297.0,1444.0,696.0,1126.0,1127.0,921.0,
388,空に浮かぶ物体X,33.0,28.0,14.0,,25.0,20.0,55.0,,13.0,,,102.0,23.0,14.0,24.0,75.0,,24.0,23.0,23.0,
389,空の帰り道,80.0,70.0,57.0,,83.0,51.0,133.0,,65.0,,,219.0,89.0,65.0,70.0,191.0,,74.0,89.0,57.0,
390,空中に沈む輝針城,414.0,263.0,425.0,,353.0,221.0,,,246.0,,,,356.0,287.0,263.0,,,275.0,356.0,290.0,
391,空飛ぶ巫女の不思議な毎日,116.0,159.0,78.0,27.0,120.0,101.0,87.0,23.0,161.0,22.0,15.0,56.0,257.0,105.0,190.0,56.0,41.0,230.0,257.0,106.0,5.0
392,童祭,1114.0,975.0,669.0,247.0,907.0,647.0,958.0,98.0,926.0,,,608.0,1151.0,645.0,886.0,613.0,375.0,1050.0,1151.0,707.0,
393,竹取飛翔,3758.0,2730.0,1628.0,946.0,2960.0,1874.0,2551.0,403.0,3212.0,473.0,,2361.0,4379.0,1846.0,3381.0,2323.0,1837.0,3570.0,4379.0,2491.0,
394,竹林インフレイム,150.0,94.0,,,193.0,113.0,,,90.0,,,,67.0,58.0,95.0,,,73.0,67.0,76.0,
395,紅より儚い永遠,159.0,183.0,40.0,10.0,151.0,114.0,58.0,3.0,268.0,3.0,5.0,27.0,397.0,70.0,350.0,33.0,17.0,336.0,397.0,131.0,3.0
396,紅夜,16.0,5.0,1.0,1.0,9.0,5.0,5.0,3.0,15.0,,,5.0,16.0,5.0,14.0,4.0,6.0,10.0,16.0,6.0,
397,紅楼,1257.0,1216.0,533.0,147.0,1075.0,881.0,861.0,88.0,1082.0,51.0,17.0,654.0,2839.0,673.0,2905.0,659.0,437.0,2881.0,2839.0,914.0,2.0
398,紅響曲,67.0,48.0,23.0,3.0,55.0,39.0,35.0,3.0,39.0,4.0,3.0,12.0,45.0,27.0,72.0,19.0,11.0,66.0,45.0,34.0,
399,素敵な墓場で暮しましょ,312.0,227.0,236.0,,284.0,182.0,340.0,,274.0,,,,220.0,215.0,257.0,,,224.0,220.0,225.0,
400,綿月のスペルカード,95.0,79.0,58.0,,96.0,61.0,75.0,,130.0,,,79.0,123.0,64.0,138.0,56.0,41.0,120.0,123.0,78.0,
401,緋想天,477.0,417.0,235.0,,381.0,278.0,377.0,,344.0,,,355.0,459.0,210.0,332.0,405.0,338.0,469.0,459.0,360.0,
402,緑のサナトリウム,177.0,98.0,111.0,,136.0,80.0,,,90.0,,,,89.0,107.0,90.0,,,104.0,89.0,113.0,
403,緑眼のジェラシー,1682.0,1085.0,915.0,,1376.0,783.0,1323.0,,920.0,,,1521.0,1109.0,894.0,1125.0,1391.0,1304.0,1030.0,1109.0,997.0,
404,聖徳伝説,2259.0,1476.0,1688.0,,1657.0,933.0,2701.0,,1524.0,,,,1493.0,1381.0,1691.0,,,1569.0,1493.0,1392.0,
405,芥川龍之介の河童,2082.0,1389.0,1117.0,611.0,1654.0,1046.0,1783.0,,1404.0,,,1645.0,1498.0,1040.0,1971.0,1894.0,1297.0,1501.0,1498.0,1286.0,
406,花の映る塚,53.0,41.0,8.0,3.0,34.0,27.0,18.0,8.0,53.0,,,21.0,51.0,19.0,34.0,18.0,9.0,44.0,51.0,26.0,
407,花は幻想のままに,223.0,232.0,77.0,47.0,193.0,163.0,115.0,25.0,231.0,,,103.0,303.0,117.0,236.0,110.0,77.0,264.0,303.0,182.0,
408,花映塚,108.0,118.0,63.0,21.0,103.0,88.0,62.0,8.0,127.0,,,43.0,130.0,57.0,159.0,64.0,42.0,129.0,130.0,83.0,
409,華のさかづき大江山,819.0,485.0,462.0,,648.0,340.0,861.0,,423.0,,,1025.0,444.0,399.0,514.0,940.0,1315.0,395.0,444.0,485.0,
410,華の幻想,12.0,9.0,1.0,,8.0,6.0,2.0,,11.0,,,1.0,11.0,7.0,9.0,2.0,1.0,7.0,11.0,7.0,
411,華狭間のバトルフィールド,829.0,289.0,,,467.0,224.0,,,322.0,,,,272.0,758.0,332.0,,,309.0,272.0,353.0,
412,華胥の夢,59.0,60.0,24.0,9.0,50.0,44.0,35.0,7.0,48.0,,,21.0,98.0,28.0,67.0,29.0,17.0,77.0,98.0,49.0,
413,萃夢想,652.0,538.0,334.0,136.0,531.0,358.0,412.0,72.0,413.0,,,496.0,423.0,274.0,533.0,548.0,216.0,483.0,423.0,410.0,
414,蓬莱伝説,768.0,691.0,324.0,121.0,629.0,534.0,435.0,61.0,690.0,55.0,23.0,279.0,1395.0,442.0,795.0,271.0,224.0,1092.0,1395.0,571.0,2.0
415,蓬莱幻想,57.0,57.0,23.0,8.0,44.0,51.0,20.0,5.0,73.0,2.0,,14.0,132.0,33.0,97.0,20.0,20.0,78.0,132.0,48.0,
416,虎柄の毘沙門天,897.0,380.0,711.0,,642.0,324.0,999.0,,336.0,,,1419.0,301.0,505.0,377.0,1272.0,,327.0,301.0,428.0,
417,蠢々秋月,419.0,259.0,154.0,106.0,374.0,238.0,249.0,63.0,376.0,83.0,,220.0,426.0,210.0,444.0,232.0,179.0,410.0,426.0,271.0,
418,衛星カフェテラス,391.0,413.0,212.0,65.0,354.0,309.0,273.0,,371.0,,,166.0,454.0,240.0,345.0,251.0,115.0,424.0,454.0,302.0,
419,衛星トリフネ,182.0,141.0,172.0,,149.0,88.0,,,103.0,,,,111.0,135.0,127.0,,,94.0,111.0,112.0,
420,装飾戦,31.0,28.0,20.0,3.0,40.0,36.0,16.0,,36.0,,1.0,14.0,29.0,28.0,36.0,23.0,5.0,39.0,29.0,32.0,
421,裏切りの少女,135.0,88.0,81.0,18.0,128.0,72.0,94.0,15.0,107.0,6.0,4.0,106.0,133.0,73.0,118.0,104.0,71.0,110.0,133.0,76.0,2.0
422,裏心,1.0,5.0,,1.0,6.0,1.0,,,4.0,,,,6.0,0.0,5.0,,1.0,5.0,6.0,,
423,見た事も無い悪夢の世界,493.0,280.0,,,370.0,214.0,,,316.0,,,,327.0,,350.0,,,337.0,327.0,320.0,
424,赤より紅い夢,594.0,645.0,128.0,29.0,528.0,392.0,104.0,14.0,1168.0,11.0,9.0,67.0,1744.0,203.0,1579.0,74.0,50.0,1490.0,1744.0,433.0,
425,踊る水飛沫,98.0,73.0,50.0,,96.0,59.0,72.0,,95.0,,,54.0,110.0,60.0,76.0,47.0,58.0,110.0,110.0,85.0,
426,車椅子の未来宇宙,482.0,356.0,309.0,93.0,407.0,301.0,426.0,,311.0,,,308.0,341.0,336.0,307.0,365.0,255.0,361.0,341.0,317.0,
427,輝く針の小人族,5631.0,3490.0,2852.0,,3939.0,2722.0,,,2988.0,,,,2670.0,3663.0,2709.0,,,2795.0,2670.0,3558.0,
428,逆転するホイールオブフォーチュン,947.0,444.0,,,684.0,346.0,,,516.0,,,,473.0,,596.0,,,470.0,473.0,473.0,
429,運命のダークサイド,2062.0,1199.0,941.0,614.0,1785.0,899.0,1930.0,,1114.0,,,1985.0,1172.0,901.0,1658.0,2069.0,1413.0,1295.0,1172.0,1222.0,
430,運河を行き交う人妖,60.0,54.0,78.0,,69.0,35.0,,,50.0,,,,61.0,43.0,51.0,,,53.0,61.0,58.0,
431,遍参,9.0,13.0,5.0,2.0,6.0,6.0,1.0,2.0,9.0,,,5.0,11.0,7.0,14.0,6.0,2.0,12.0,11.0,7.0,
432,過去の花,65.0,75.0,28.0,10.0,53.0,53.0,42.0,6.0,53.0,10.0,,35.0,50.0,52.0,46.0,36.0,34.0,54.0,50.0,49.0,
433,遠野の森,6.0,4.0,6.0,1.0,8.0,4.0,3.0,2.0,5.0,,,4.0,11.0,1.0,6.0,5.0,2.0,9.0,11.0,5.0,
434,遠野幻想物語,2225.0,1372.0,958.0,375.0,1859.0,1135.0,1454.0,166.0,1278.0,159.0,62.0,1205.0,1362.0,1087.0,1470.0,1167.0,765.0,1532.0,1362.0,1496.0,21.0
435,遥か38万キロのボヤージュ,1317.0,716.0,,,953.0,569.0,,,707.0,,,,730.0,,729.0,,,727.0,730.0,723.0,
436,針小棒大の天守閣,51.0,29.0,53.0,,21.0,31.0,,,44.0,,,,31.0,31.0,41.0,,,43.0,31.0,27.0,
437,門前の妖怪小娘,99.0,56.0,45.0,,90.0,47.0,108.0,,67.0,,,,46.0,46.0,64.0,,,56.0,46.0,62.0,
438,閉ざせし雲の通い路,81.0,50.0,35.0,,47.0,44.0,55.0,,66.0,,,67.0,65.0,35.0,70.0,81.0,,56.0,65.0,58.0,
439,阿礼の子供,65.0,53.0,53.0,8.0,62.0,35.0,60.0,,49.0,,,29.0,82.0,43.0,52.0,30.0,20.0,55.0,82.0,49.0,
440,陽落ちて,2.0,1.0,3.0,,5.0,2.0,,,4.0,,,2.0,6.0,5.0,1.0,1.0,,10.0,6.0,3.0,
441,雪月桜花の国,77.0,54.0,47.0,13.0,53.0,51.0,68.0,,59.0,,,49.0,62.0,36.0,48.0,63.0,43.0,66.0,62.0,55.0,
442,雲外蒼天,46.0,24.0,27.0,,51.0,29.0,50.0,,36.0,,,57.0,49.0,29.0,36.0,63.0,69.0,31.0,49.0,28.0,
443,霊人の休日,2.0,5.0,2.0,,3.0,5.0,2.0,,3.0,,,1.0,3.0,0.0,4.0,1.0,,3.0,3.0,3.0,
444,霊天,9.0,15.0,7.0,2.0,14.0,9.0,8.0,1.0,13.0,,,2.0,7.0,8.0,17.0,4.0,3.0,18.0,7.0,13.0,
445,霊戦,58.0,31.0,34.0,7.0,48.0,26.0,62.0,5.0,41.0,1.0,3.0,27.0,38.0,30.0,35.0,38.0,20.0,33.0,38.0,30.0,
446,霊知の太陽信仰,3052.0,1784.0,2207.0,,2246.0,1437.0,4061.0,,1724.0,,,4433.0,2032.0,1689.0,2144.0,4503.0,2580.0,2086.0,2032.0,1857.0,
447,青木ヶ原の伝説,63.0,58.0,40.0,13.0,56.0,50.0,67.0,,58.0,,,47.0,76.0,35.0,63.0,47.0,33.0,80.0,76.0,45.0,
448,青空の影,52.0,53.0,30.0,,47.0,32.0,44.0,,39.0,,,92.0,53.0,28.0,52.0,58.0,,61.0,53.0,38.0,
449,非統一魔法世界論,46.0,25.0,15.0,1.0,33.0,15.0,5.0,3.0,19.0,1.0,,8.0,14.0,17.0,21.0,7.0,2.0,28.0,14.0,22.0,
450,顕現した伝承の形,5.0,6.0,,,4.0,5.0,,,3.0,,,,5.0,3.0,4.0,,,5.0,5.0,5.0,
451,風の循環,85.0,58.0,47.0,51.0,65.0,43.0,76.0,,53.0,,,87.0,70.0,25.0,66.0,95.0,77.0,77.0,70.0,54.0,
452,風の神社,53.0,65.0,20.0,1.0,60.0,41.0,21.0,4.0,87.0,1.0,,10.0,75.0,38.0,80.0,18.0,9.0,79.0,75.0,70.0,
453,風光明媚,7.0,5.0,2.0,,3.0,1.0,4.0,,6.0,,,4.0,10.0,3.0,6.0,5.0,4.0,1.0,10.0,2.0,
454,風神少女,3203.0,1834.0,1554.0,1978.0,2571.0,1380.0,2647.0,951.0,1783.0,,,2469.0,2071.0,1580.0,1997.0,2261.0,2662.0,1908.0,2071.0,1717.0,
455,香る樹葉花,80.0,90.0,28.0,,83.0,69.0,35.0,,81.0,,,40.0,94.0,56.0,79.0,37.0,45.0,91.0,94.0,102.0,
456,魂の休らむ所,7.0,7.0,2.0,1.0,3.0,9.0,3.0,,4.0,,,,20.0,1.0,,3.0,4.0,1.0,20.0,7.0,
457,魂の花,47.0,37.0,17.0,8.0,44.0,32.0,22.0,13.0,41.0,,,20.0,49.0,25.0,34.0,21.0,14.0,47.0,49.0,26.0,
458,魔力の雷雲,82.0,77.0,81.0,,84.0,56.0,,,75.0,,,,105.0,74.0,68.0,,,78.0,105.0,70.0,
459,魔女達の舞踏会,542.0,456.0,312.0,261.0,450.0,331.0,488.0,132.0,479.0,64.0,22.0,471.0,614.0,296.0,602.0,460.0,405.0,584.0,614.0,399.0,8.0
460,魔所,5.0,1.0,1.0,,1.0,,,,6.0,,,,28.0,0.0,10.0,1.0,,6.0,28.0,4.0,
461,魔法使いの憂鬱,280.0,236.0,148.0,,243.0,163.0,154.0,,186.0,,,131.0,236.0,152.0,256.0,136.0,,255.0,236.0,228.0,
462,魔法少女十字軍,345.0,253.0,278.0,130.0,286.0,226.0,441.0,91.0,279.0,71.0,17.0,330.0,263.0,192.0,323.0,378.0,274.0,264.0,263.0,253.0,5.0
463,魔法少女達の百年祭,2594.0,2023.0,875.0,123.0,2376.0,1501.0,1114.0,60.0,2072.0,75.0,67.0,630.0,3010.0,1265.0,3087.0,767.0,434.0,3010.0,3010.0,1884.0,22.0
464,魔法決戦！,19.0,15.0,13.0,6.0,15.0,11.0,12.0,1.0,20.0,2.0,1.0,15.0,21.0,13.0,33.0,9.0,10.0,24.0,21.0,9.0,
465,魔法鐘愛,5.0,6.0,1.0,,10.0,8.0,3.0,2.0,4.0,,,2.0,192.0,2.0,9.0,4.0,3.0,5.0,192.0,8.0,
466,魔法陣,8.0,8.0,3.0,1.0,9.0,5.0,4.0,,6.0,,,2.0,5.0,2.0,7.0,4.0,,8.0,5.0,4.0,
467,魔界地方都市エソテリア,376.0,322.0,239.0,,394.0,241.0,455.0,,302.0,,,491.0,294.0,221.0,324.0,576.0,,304.0,294.0,284.0,
468,魔術師メリー,271.0,178.0,126.0,15.0,215.0,140.0,142.0,9.0,174.0,18.0,,77.0,220.0,153.0,207.0,100.0,45.0,191.0,220.0,174.0,
469,魔鏡,48.0,80.0,31.0,3.0,47.0,48.0,38.0,1.0,69.0,1.0,,21.0,85.0,42.0,72.0,26.0,16.0,60.0,85.0,47.0,
470,麓の神社,41.0,34.0,12.0,9.0,30.0,30.0,25.0,,36.0,,,18.0,56.0,17.0,45.0,22.0,20.0,42.0,56.0,22.0,
471,黒い海に紅く,423.0,249.0,242.0,,371.0,228.0,449.0,,252.0,,,638.0,304.0,234.0,400.0,532.0,789.0,320.0,304.0,256.0,
472,Dr.レイテンシーの眠れなくなる瞳,,91.0,,,115.0,68.0,,,110.0,,,,83.0,,88.0,,,97.0,83.0,89.0,
473,もうドアには入れない,,124.0,,,,97.0,,,114.0,,,,105.0,,111.0,,,122.0,105.0,179.0,
474,アウトサイダーカクテル,,47.0,,,88.0,37.0,,,46.0,,,,57.0,,52.0,,,66.0,57.0,57.0,
475,アンロケイテッドヘル,,1229.0,,,,,,,790.0,,,,566.0,,726.0,,,664.0,566.0,,
476,イントゥ・バックドア,,56.0,,,,61.0,,,54.0,,,,47.0,,66.0,,,49.0,47.0,141.0,
477,エレクトリックヘリテージ,,529.0,,,,,,,332.0,,,,282.0,,319.0,,,274.0,282.0,,
478,クレイジーバックダンサーズ,,1061.0,,,,1013.0,,,1260.0,,,,1091.0,,1109.0,,,907.0,1091.0,1716.0,
479,シュレディンガーの化猫,,176.0,,,232.0,111.0,,,187.0,,,,179.0,,223.0,,,170.0,179.0,146.0,
480,ジェリーストーン,,319.0,,,,,,,164.0,,,,140.0,,148.0,,,126.0,140.0,,
481,スリープシープ・パレード,,51.0,,,,76.0,,,42.0,,,,42.0,,59.0,,,46.0,42.0,161.0,
482,セラフィックチキン,,333.0,,,,,,,194.0,,,,287.0,,458.0,,,318.0,287.0,,
483,セラミックスの杖刀人,,757.0,,,,,,,817.0,,,,374.0,,542.0,,,390.0,374.0,,
484,トータスドラゴン,,275.0,,,,,,,183.0,,,,246.0,,221.0,,,362.0,246.0,,
485,ナイトメアダイアリー,,269.0,,,,378.0,,,275.0,,,,179.0,,258.0,,,209.0,179.0,,
486,バー・オールドアダム,,155.0,,,192.0,138.0,,,144.0,,,,166.0,,193.0,,,161.0,166.0,124.0,
487,ビーストメトロポリス,,480.0,,,,,,,397.0,,,,346.0,,376.0,,,354.0,346.0,,
488,マッシュルーム・ワルツ,,16.0,,,,21.0,,,21.0,,,,28.0,,35.0,,,26.0,28.0,22.0,
489,ルナティックドリーマー,,97.0,,,,175.0,,,91.0,,,,104.0,,138.0,,,86.0,104.0,,
490,ルーシッドドリーマー,,17.0,,,,19.0,,,14.0,,,,24.0,,13.0,,,19.0,24.0,,
491,ロストリバー,,57.0,,,,,,,29.0,,,,23.0,,21.0,,,29.0,23.0,,
492,一対の神獣,,142.0,,,,184.0,,,134.0,,,,158.0,,141.0,,,190.0,158.0,352.0,
493,不朽の曼珠沙華,,52.0,,,,,,,25.0,,,,35.0,,47.0,,,35.0,35.0,,
494,不滅のレッドソウル,,11.0,,,,24.0,,,23.0,,,,14.0,,21.0,,,14.0,14.0,55.0,
495,不自然な自然,,3.0,,,,2.0,,,8.0,,,,6.0,,9.0,,,2.0,6.0,7.0,
496,二日酔いの同床異夢,,124.0,,,169.0,101.0,,,147.0,,,,156.0,,143.0,,,156.0,156.0,116.0,
497,今宵は飄逸なエゴイスト,,2679.0,,,,2468.0,,,2759.0,,,,3269.0,,3317.0,,,3323.0,3269.0,2260.0,
498,他愛も無い二人の博物誌,,567.0,,,655.0,447.0,,,503.0,,,,530.0,,525.0,,,601.0,530.0,551.0,
499,使われなかった場所,,3.0,,,,3.0,,,3.0,,,,3.0,,3.0,,,4.0,3.0,1.0,
500,偶像に世界を委ねて,,5655.0,,,,,,,7107.0,,,,6306.0,,7850.0,,,6775.0,6306.0,,
501,光り輝く天球儀,,14.0,,,,39.0,,,21.0,,,,9.0,,17.0,,,12.0,9.0,26.0,
502,判読眼のビブロフィリア,,311.0,,,399.0,203.0,,,298.0,,,,325.0,,314.0,,,328.0,325.0,297.0,
503,千の試練を超えて,,19.0,,,,16.0,,,23.0,,,,23.0,,22.0,,,29.0,23.0,22.0,
504,地下からの帰還,,12.0,,,,,,,10.0,,,,5.0,,9.0,,,9.0,5.0,,
505,地底に咲く薔薇,,23.0,,,,28.0,,,31.0,,,,67.0,,30.0,,,42.0,67.0,28.0,
506,地蔵だけが知る哀嘆,,178.0,,,,,,,104.0,,,,201.0,,108.0,,,102.0,201.0,,
507,山奥のエンカウンター,,40.0,,,,46.0,,,34.0,,,,28.0,,42.0,,,40.0,28.0,85.0,
508,希望の星は青霄に昇る,,418.0,,,,340.0,,,353.0,,,,291.0,,362.0,,,312.0,291.0,467.0,
509,幻想のホワイトトラベラー,,625.0,,,,623.0,,,524.0,,,,549.0,,644.0,,,577.0,549.0,912.0,
