,名前,12回目ポイント,16回目ポイント,10回目ポイント,5回目ポイント,13回目ポイント,15回目ポイント,9回目ポイント,4回目ポイント,17回目ポイント,3回目ポイント,2回目ポイント,7回目ポイント,20回目ポイント,11回目ポイント,18回目ポイント,8回目ポイント,6回目ポイント,19回目ポイント,21回目ポイント,14回目ポイント,1回目ポイント
278,幽玄の槭樹,136.0,156.0,,,137.0,116.0,,,176.0,,,,212.0,,193.0,,,179.0,212.0,137.0,
279,幽雅に咲かせ、墨染の桜,7640.0,5051.0,3836.0,2620.0,5874.0,3625.0,6261.0,1210.0,5403.0,1185.0,334.0,6071.0,5782.0,3862.0,6023.0,5830.0,4831.0,5894.0,5782.0,4710.0,
280,幽霊客船の時空を越えた旅,840.0,745.0,568.0,,673.0,473.0,968.0,,756.0,,,1565.0,715.0,512.0,794.0,1375.0,,754.0,715.0,608.0,
281,幽霊楽団,4775.0,3081.0,2165.0,1654.0,3744.0,2336.0,3600.0,838.0,5082.0,1080.0,448.0,3401.0,4361.0,2318.0,5491.0,3154.0,2959.0,4832.0,4361.0,2996.0,
282,広有射怪鳥事,1735.0,1723.0,706.0,212.0,1597.0,1003.0,1195.0,96.0,2395.0,136.0,78.0,1007.0,2581.0,827.0,2699.0,999.0,671.0,2585.0,2581.0,1255.0,
283,廃獄ララバイ,1851.0,1399.0,1114.0,,1525.0,1133.0,1752.0,,1287.0,,,1361.0,1544.0,1043.0,1389.0,1617.0,1028.0,1479.0,1544.0,1324.0,
284,彼岸帰航,868.0,627.0,438.0,378.0,755.0,491.0,766.0,315.0,593.0,,,848.0,617.0,459.0,653.0,748.0,841.0,608.0,617.0,551.0,
285,御伽の国の鬼が島,674.0,501.0,426.0,214.0,572.0,386.0,717.0,237.0,558.0,,,773.0,478.0,428.0,539.0,782.0,521.0,516.0,478.0,509.0,
286,御柱の墓場,370.0,240.0,269.0,205.0,304.0,178.0,502.0,,229.0,,,500.0,238.0,215.0,276.0,452.0,459.0,229.0,238.0,229.0,
287,心揺さぶる都市伝説,57.0,26.0,,,49.0,20.0,,,21.0,,,,25.0,44.0,26.0,,,23.0,25.0,38.0,
288,心綺楼囃子,226.0,227.0,218.0,,173.0,130.0,,,206.0,,,,139.0,154.0,171.0,,,202.0,139.0,194.0,
289,忘れがたき、よすがの緑,341.0,151.0,,,233.0,166.0,,,123.0,,,,192.0,,131.0,,,232.0,192.0,177.0,
290,怪綺談,17.0,13.0,6.0,1.0,9.0,9.0,14.0,3.0,20.0,5.0,1.0,9.0,26.0,16.0,25.0,16.0,9.0,20.0,26.0,14.0,1.0
291,恋色マスタースパーク,5129.0,4110.0,1772.0,1281.0,4114.0,2524.0,2459.0,659.0,5861.0,1112.0,,2493.0,8785.0,2227.0,7883.0,2143.0,2162.0,7479.0,8785.0,3026.0,
292,悠久の蒸気機関,429.0,356.0,317.0,,357.0,321.0,571.0,,263.0,,,784.0,228.0,225.0,239.0,682.0,,249.0,228.0,492.0,
293,悲しき人形,131.0,108.0,48.0,11.0,112.0,90.0,73.0,10.0,107.0,6.0,3.0,42.0,120.0,70.0,118.0,55.0,30.0,105.0,120.0,103.0,
294,感情の摩天楼,5014.0,2805.0,3827.0,,3638.0,2221.0,6328.0,,2756.0,,,5591.0,3122.0,3213.0,2956.0,6344.0,,3107.0,3122.0,2996.0,
295,懐かしき東方の血,1100.0,713.0,534.0,270.0,923.0,562.0,936.0,133.0,743.0,215.0,,784.0,1044.0,584.0,1044.0,890.0,614.0,933.0,1044.0,742.0,
296,戦車むすめのみるゆめ,85.0,75.0,29.0,14.0,85.0,52.0,43.0,5.0,52.0,2.0,2.0,33.0,63.0,36.0,63.0,35.0,31.0,68.0,63.0,55.0,1.0
297,戦迅,70.0,24.0,31.0,19.0,58.0,20.0,45.0,22.0,17.0,,,49.0,17.0,25.0,30.0,55.0,25.0,19.0,17.0,29.0,
298,放縦不羈,9.0,3.0,6.0,,2.0,1.0,8.0,,6.0,,,10.0,14.0,7.0,13.0,15.0,5.0,3.0,14.0,5.0,
299,故郷の星が映る海,1229.0,1070.0,,,1034.0,747.0,,,1140.0,,,,1341.0,,1106.0,,,1272.0,1341.0,883.0,
300,新幻想,12.0,10.0,9.0,,6.0,5.0,10.0,,11.0,,,1.0,13.0,8.0,19.0,8.0,2.0,22.0,13.0,8.0,
301,日常坐臥,19.0,10.0,6.0,,15.0,9.0,6.0,,12.0,,,9.0,17.0,6.0,12.0,11.0,9.0,7.0,17.0,9.0,
302,日本中の不思議を集めて,151.0,194.0,86.0,,143.0,125.0,,,167.0,,,,159.0,89.0,154.0,,,175.0,159.0,137.0,
303,旧地獄街道を行く,652.0,517.0,375.0,,522.0,348.0,633.0,,660.0,,,590.0,637.0,290.0,728.0,615.0,691.0,674.0,637.0,418.0,
304,明かされる深秘,41.0,19.0,,,26.0,13.0,,,12.0,,,,9.0,10.0,10.0,,,13.0,9.0,19.0,
